ano;com.casca;sem.casca;total
1998;12.053326;3.075295;15.128621
1999;4.987234;1.118506;6.10574
2000;13.566005;5.36199;18.927995
2001;7.902773;2.649222;10.551995
2002;6.949131;2.693655;9.642786
2003;5.617681;1.32922;6.946901
2004;10.296366;3.095102;13.391468
2005;13.05766;4.1835;17.24116
2006;11.215521;1.862981;13.078502
2007;13.982688;2.330276;16.312964
2008;12.736055;1.013128;13.749183
2009;9.047217;0.837174;9.884391
2010;8.141735;0.856403;8.998138
2011;10.264951;0.085364;10.350315
2012;10.444851;0.673043;11.117894
2013;12.143226;1.475899;13.619125
2014;7.090739;0.811649;7.902388
2015;18.417178;3.064796;21.481974
2016;7.91183;0.586525;8.498355
2017;3.988601;0.299634;4.288235
